title,journal,year
Nuevos metodos de valoracion. Modelos Multicriterio,Universitat Politecnica de Valencia,2012.0
Stock market trading rule based on pattern recognition and technical analysis: Forecasting the DJIA index with intraday data,Expert Systems with Applications,2015.0
Designing a sustainable development goal index through a goal programming model: The Case of EU-28 Countries,Sustainability,2018.0
A dynamic trading rule based on filtered flag pattern recognition for stock market price forecasting,Expert Systems,2017.0
Assessing the efficiency of public universities through DEA. A case study,Sustainability,2017.0
Credit risk management: A multicriteria approach to assess creditworthiness,Mathematical and Computer Modelling,2013.0
A goal programming approach to estimating performance weights for ranking firms,Computers & Operations Research,2010.0
Forecasting the environmental social and governance rating of firms by using corporate financial performance variables: A rough set approach,Sustainability,2020.0
Mass appraisal of residential real estate using multilevel modelling,International Journal of Strategic Property Management,2016.0
Ranking Spanish savings banks: A multicriteria approach,Mathematical and Computer Modelling,2010.0
Index tracking optimization with cardinality constraint: a performance comparison of genetic algorithms and tabu search heuristics,Neural Computing and Applications,2018.0
Hybrid fuzzy neural network to predict price direction in the German DAX-30 index,Technological and Economic Development of Economy,2018.0
Mixed valuation methods: a combined AHP-GP procedure for individual and group multicriteria agricultural valuation,Annals of Operations Research,2011.0
Forecasting stock market trend: a comparison of machine learning algorithms,Finance Markets and Valuation,2020.0
Liquidity risk and investors mood: Linking the financial market liquidity to sentiment analysis through Twitter in the S&P500 index,Sustainability,2019.0
Multiobjective approach to portfolio optimization in the light of the credibility theory,Technological and Economic Development of Economy,2020.0
Analysis of academic literature on environmental valuation,International Journal of Environmental Research and Public Health,2020.0
A model for sector restructuring through genetic algorithm and inverse DEA,Expert Systems,2020.0
Measuring the social responsibility of European companies: a goal programming approach,International transactions in operational research,2019.0
An ANP framework for property pricing combining quantitative and qualitative attributes,Journal of the Operational Research Society,2010.0
Modelling aesthetic variables in the valuation of paintings: an interval goal programming approach,Journal of the Operational Research Society,2007.0
Methodology to assess the market value of companies according to their financial and social responsibility aspects: An AHP approach,Journal of the Operational Research Society,2018.0
A multiobjective credibilistic portfolio selection model. Empirical study in the Latin American integrated market,Enterpreneurship and Sustainability Issues,2020.0
Estimating regression parameters with imprecise input data in an appraisal context,European Journal of Operational Research,2007.0
Metodos de valoracion basados en la programacion por metas modelo de valoracion restringida,Revista Espanola de Estudios Agrosociales y Pesqueros,2004.0
Social Performance considered within the global performance of Microfinance Institutions: A new approach,Operational Research,2019.0
Valoracion inmobiliaria. Metodos y aplicaciones (Espana e Iberoamerica),Universitat Politecnica de Valencia,2012.0
A multiobjective model for passive portfolio management: an application on the S&P 100 index,Journal of Business Economics and Management,2013.0
Ranking the Performance of Universities: The Role of Sustainability,Sustainability,2021.0
What makes trading strategies based on chart pattern recognition profitable?,Expert Systems,2021.0
Market liquidity and its dimensions: Linking the Liquidity dimensions to sentiment analysis through microblogging data,Journal of Risk and Financial Management,2021.0
Assessing the impact of road traffic externalities on residential price values: A case study in Madrid Spain,International Journal of Environmental Research and Public Health,2019.0
A multicriteria model for the assessment of countries environmental performance,International Journal of Environmental Research and Public Health,2019.0
An Analytic Hierarchy Process (AHP) framework for property valuation to identify the ideal 2050 portfolio mixes in EU-27 countries with shrinking populations,Quality & Quantity,2016.0
Contabilidad de costes y toma de decisiones,Universitat Politecnica de Valencia,2014.0
The curvature of the tracking frontier: a new criterion for the partial index tracking problem,Mathematical and Computer Modelling,2011.0
Valoracion agraria multicriterio en un entorno con escasa informacion,Estudios DE Economia Aplicada,2007.0
Evaluating patent portfolios by means of multicriteria analysis,Revista de Contabilidad,2011.0
Factores financieros clave en la reorganizacion del sector de las cajas rurales CIRIEC-Espana, Revista de Economia Publica Social y Cooperativa,2010.0
A multicriteria goal programming model for ranking universities,Mathematics Journal,2021.0
A similarity measure for the cardinality constrained frontier in the mean variance optimization model,Journal of the Operational Research Society,2018.0
Propuesta metodologica para la seleccion de acciones en la replica de indices.,Revista de economia financiera,2008.0
Estimating returns and condicional volatility: a comparison between the ARMA-GARCH-M models and the backpropagation neural network,International Journal of Complex Systems in Science,2012.0
La valoracion de empresas agroalimentarias: una extension de los modelos factoriales,Revista Espanola de Estudios Agrosociales y Pesqueros,2008.0
Monitoring credit risk in the social economy sector by means of a binary goal programming model,Service Business,2013.0
Default prediction of Spanish companies. A logistic analysis,Intellectual economics,2013.0
Crisis bursatil:¿ Es preferible una estrategia de gestion activa o pasiva?,Innovar,2011.0
Valoracion de las obras de arte pictoricas: el caso espanol de pintores contemporaneos en la decada de los 90,Revista europea de direccion y economia de la empresa,2001.0
A mean-variance optimization approach for residential real estate valuation,Real Estate Management and Valuation,2021.0
Ranking residential properties by a multicriteria single price model,Journal of the Operational Research Society,2011.0
Contabilidad analitica,Universitat Politecnica de Valencia,2011.0
La valoracion de inmuebles urbanos mediante el proceso analitico en red,Revista de estudios regionales,2010.0
Foreign exchange forecasting models: ARIMA and LSTM comparison,Engineering Proceedings,2023.0
Automatic identification and evaluation of Fibonacci retracements: Empirical evidence from three equity markets,Expert Systems,2022.0
Estrategia de inversion bursatil y reconocimiento grafico de patrones: Aplicacion sobre datos intradia del indice Dow Jones,Cuadernos de Administracion,2014.0
The added value of non-financial information in internet firms pricing,SSRN,2014.0
Factores discriminantes de la inversion en intangibles de las empresas tecnologicas,Investigaciones europeas de direccion y economia de la empresa,2006.0
Modelo de valoracion en ambiente de incertidumbre,Economia Agraria y Recursos Naturales,2005.0
Economic recovery and effectiveness of active labour market initiatives for the unemployed in Spain: A gender perspective of the Valencian region,Sustainability,2018.0
Valoracion de activos intangibles empresariales: Estado del arte y retos pendientes,Finance Markets and Valuation,2016.0
Probability of deafault using the logit model: The impact of explanatory variable and data base selection,Conferencia,2012.0
A surrogate similarity measure for the mean-variance frontier optimisation problem under bound and cardinality constraints,Journal of the Operational Research Society,2021.0
Clasificacion multicriterio de las empresas de prensa digital espanolas,Finance Markets and Valuation,2015.0
