title,journal,year
Control of noise by trees arranged like sonic crystals,Journal of Sound and Vibration,2006.0
Formation of high-order acoustic Bessel beams by spiral diffraction gratings,Physical Review Applied,2016.0
Evidences of evanescent Bloch waves in phononic crystals,Applied Physics Letters,2010.0
Tunable wideband bandstop acoustic filter based on two-dimensional multiphysical phenomena periodic systems,Journal of Applied Physics,2011.0
Multi-resonant scatterers in sonic crystals: Locally multi-resonant acoustic metamaterial,Journal of Sound and Vibration,2013.0
Sharp acoustic vortex focusing by Fresnel-spiral zone plates,Applied Physics Letters,2018.0
Sequence spaces and asymmetric norms in the theory of computational complexity,Mathematical and Computer Modelling,2002.0
Evanescent modes in sonic crystals: Complex dispersion relation and supercell approximation,Journal of Applied Physics,2010.0
Validation of the use of Actigraph GT3X accelerometers to estimate energy expenditure in full time manual wheelchair users with spinal cord injury,Spinal cord,2013.0
Ultradiscrete kinks with supersonic speed in a layered crystal with realistic potentials,Physical Review Applied,2015.0
Design manufacture and characterization of an acoustic barrier made of multi-phenomena cylindrical scatterers arranged in a fractal-based geometry,Archives of Acoustics,2012.0
The nuclear structure of 229Th,No indexada,2002.0
Hole distribution in phononic crystals: Design and optimization,The Journal of the Acoustical Society of America,2009.0
Propagating and evanescent properties of double-point defects in sonic crystals,New Journal of Physics,2010.0
Optimization of sonic crystal attenuation properties by ev-MOGA multiobjective evolutionary algorithm,Structural and Multidisciplinary Optimization,2009.0
The dual space of an asymmetric normed linear space,Quaestiones Mathematicae,2003.0
On Hausdorff asymmetric normed linear spaces,Houston J. Math,2003.0
Simulation of light collection in scintillators with rough surfaces,Nuclear Instruments and Methods in Physics Research Section A: Accelerators,1994.0
Band gap creation using quasiordered structures based on sonic crystals,Applied Physics Letters,2006.0
Wave focusing using symmetry matching in axisymmetric acoustic gradient index lenses,Applied Physics Letters,2013.0
Compactness and finite dimension in asymmetric normed linear spaces,Topology,2005.0
A heuristic algorithm based on Monte Carlo methods for the rural postman problem,Computers & Operations Research,1998.0
Introduccion de las tecnicas de modelizacion para el estudio de la fisica y de las matematicas en los primeros cursos de las carreras tecnicas,Ensenanza de las ciencias: revista de investigacion y experiencias,1999.0
Acoustic Bessel-like beam formation by an axisymmetric grating,Europhysics Letters,2014.0
