title,journal,year,otros_investigadores
Nuevos metodos de valoracion. Modelos Multicriterio,Editorial Universitat Politecnica de Valencia,2012.0,J Aznar Bellver;F Guijarro Martinez
Stock market trading rule based on pattern recognition and technical analysis: Forecasting the DJIA index with intraday data,Expert systems with Applications,2015.0,R Cervello-Royo;F Guijarro;K Michniuk
Designing a sustainable development goal index through a goal programming model: The Case of EU-28 Countries,Sustainability,2018.0,F Guijarro;JA Poyatos
A dynamic trading rule based on filtered flag pattern recognition for stock market price forecasting,Expert Systems with Applications,2017.0,R Arevalo;J Garcia;F Guijarro;A Peris
Assessing the efficiency of public universities through DEA. A case study,Sustainability,2017.0,D Visbal-Cadavid;M Martinez-Gomez;F Guijarro
Credit risk management: A multicriteria approach to assess creditworthiness,Mathematical and computer modelling,2013.0,F Garcia;V Gimenez;F Guijarro
A goal programming approach to estimating performance weights for ranking firms,Computers & Operations Research,2010.0,F Garcia;F Guijarro;I Moya
"Forecasting the environmental, social, and governance rating of firms by using corporate financial performance variables: A rough set approach",Sustainability,2020.0,F Garcia;J Gonzalez-Bueno;F Guijarro;J Oliver
Mass appraisal of residential real estate using multilevel modelling,International Journal of Strategic Property Management,2016.0,I Arribas;F Garcia;F Guijarro;J Oliver;R Tamosiuniene
Ranking Spanish savings banks: A multicriteria approach,Mathematical and computer modelling,2010.0,F Garcia;F Guijarro;I Moya
Index tracking optimization with cardinality constraint: a performance comparison of genetic algorithms and tabu search heuristics,Neural Computing and Applications,2018.0,F Garcia;F Guijarro;J Oliver
Hybrid fuzzy neural network to predict price direction in the German DAX-30 index,Technological and Economic Development of Economy,2018.0,F Garcia;F Guijarro;J Oliver;R Tamosiuniene
Mixed valuation methods: a combined AHP-GP procedure for individual and group multicriteria agricultural valuation,Annals of Operations Research,2011.0,J Aznar;F Guijarro;JM Moreno-Jimenez
Forecasting stock market trend: a comparison of machine learning algorithms,"Finance, Markets and Valuation",2020.0,R Cervello Royo;F Guijarro
Liquidity risk and investors’ mood: Linking the financial market liquidity to sentiment analysis through Twitter in the S&P500 index,Sustainability,2019.0,F Guijarro;I Moya-Clemente;J Saleemi
Multiobjective approach to portfolio optimization in the light of the credibility theory,Technological and Economic Development of Economy,2020.0,F Garcia;J Gonzalez-Bueno;F Guijarro;J Oliver;R Tamosiuniene
Analysis of academic literature on environmental valuation,International journal of environmental research and public health,2020.0,F Guijarro;P Tsinaslanidis
A model for sector restructuring through genetic algorithm and inverse DEA,Expert Systems with Applications,2020.0,F Guijarro;M Martinez-Gomez;D Visbal-Cadavid
Measuring the social responsibility of European companies: a goal programming approach,International transactions in operational research,2019.0,G Garcia‐Martinez;F Guijarro;JA Poyatos
An ANP framework for property pricing combining quantitative and qualitative attributes,Journal of the Operational Research Society,2010.0,J Aznar;J Ferris-Onate;F Guijarro
Modelling aesthetic variables in the valuation of paintings: an interval goal programming approach,Journal of the Operational Research Society,2007.0,J Aznar;F Guijarro
Methodology to assess the market value of companies according to their financial and social responsibility aspects: An AHP approach,Journal of the Operational Research Society,2018.0,T Gomez-Navarro;M Garcia-Melon;F Guijarro;M Preuss
A multiobjective credibilistic portfolio selection model. Empirical study in the Latin American integrated market,Enterpreneurship and Sustainability Issues,2020.0,F Garcia Garcia;J Gonzalez-Bueno;F Guijarro;J Oliver-Muncharaz
Estimating regression parameters with imprecise input data in an appraisal context,European Journal of Operational Research,2007.0,J Aznar;F Guijarro
Metodos de valoracion basados en la programacion por metas; modelo de valoracion restringida,Revista espanola de estudios agrosociales y pesqueros,2004.0,J Aznar Bellver;F Guijario Martinez
Social Performance considered within the global performance of Microfinance Institutions: A new approach,Operational Research,2019.0,R Cervello-Royo;F Guijarro;V Martinez-Gomez
Valoracion inmobiliaria. Metodos y aplicaciones (Espana e Iberoamerica),Coleccion Academica. Editorial UPV,2012.0,J Aznar Bellver;R Gonzalez Mora;F Guijarro Martinez;AA Lopez Perales
A multiobjective model for passive portfolio management: an application on the S&P 100 index,Journal of Business Economics and Management,2013.0,F Garcia;F Guijarro;I Moya
Ranking the Performance of Universities: The Role of Sustainability,Sustainability,2021.0,C Burmann;F Garcia;F Guijarro;J Oliver
What makes trading strategies based on chart pattern recognition profitable?,Expert Systems,2021.0,P Tsinaslanidis;F Guijarro
Market liquidity and its dimensions: Linking the Liquidity dimensions to sentiment analysis through microblogging data,Journal of Risk and Financial Management,2021.0,F Guijarro;I Moya-Clemente;J Saleemi
"Assessing the impact of road traffic externalities on residential price values: A case study in Madrid, Spain",International journal of environmental research and public health,2019.0,F Guijarro
A multicriteria model for the assessment of countries’ environmental performance,International journal of environmental research and public health,2019.0,F Guijarro
An Analytic Hierarchy Process (AHP) framework for property valuation to identify the ideal 2050 portfolio mixes in EU-27 countries with shrinking populations,Quality & Quantity,2016.0,R Cervello-Royo;F Guijarro;T Pfahler;M Preuss
Contabilidad de costes y toma de decisiones,Coleccion Academica. Editorial UPV,2014.0,F Guijarro Martinez;F Garcia Garcia
The curvature of the tracking frontier: a new criterion for the partial index tracking problem,Mathematical and Computer Modelling,2011.0,F Garcia;F Guijarro;I Moya
Valoracion agraria multicriterio en un entorno con escasa informacion,Estudios de Economia Aplicada,2007.0,JA Bellver;FG Martinez;JMM Jimenez
Evaluating patent portfolios by means of multicriteria analysis,Revista de Contabilidad,2011.0,X Wang;F Garcia;F Guijarro;I Moya
Factores financieros clave en la reorganizacion del sector de las cajas rurales,"CIRIEC-Espana, Revista de Economia Publica, Social y Cooperativa",2010.0,FG Garcia;FG Martinez;IM Clemente
A multicriteria goal programming model for ranking universities,Mathematics,2021.0,F Garcia;F Guijarro;J Oliver
A similarity measure for the cardinality constrained frontier in the mean–variance optimization model,Journal of the operational research society,2018.0,F Guijarro
Propuesta metodologica para la seleccion de acciones en la replica de indices.,Revista de economia financiera,2008.0,F Guijarro;I Moya
Estimating returns and condicional volatility: a comparison between the ARMA-GARCH-M models and the backpropagation neural network,International Journal of Complex Systems in Science,2012.0,F Garcia Garcia;F Guijarro Martinez;I Moya Clemente;...
La valoracion de empresas agroalimentarias: una extension de los modelos factoriales,Revista Espanola de Estudios Agrosociales y Pesqueros,2008.0,F Garcia;FG Martinez;I Clemente
Monitoring credit risk in the social economy sector by means of a binary goal programming model,Service Business,2013.0,F Garcia;F Guijarro;I Moya
Default prediction of Spanish companies. A logistic analysis,Intellectual economics,2013.0,C Bartual Sanfeliu;F Garcia Garcia;F Guijarro Martinez;I Moya Clemente
Crisis bursatil:¿ Es preferible una estrategia de gestion activa o pasiva?,Innovar,2011.0,F Garcia;F Guijarro
Valoracion de las obras de arte pictoricas: el caso espanol de pintores contemporaneos en la decada de los 90,Revista europea de direccion y economia de la empresa,2001.0,AB Ruiz;FG Martinez;MNG Olmeda
A mean-variance optimization approach for residential real estate valuation,Real Estate Management and Valuation,2021.0,F Guijarro
Ranking residential properties by a multicriteria single price model,Journal of the Operational Research Society,2011.0,R Cervello;F Garcia;F Guijarro
Contabilidad analitica,Valencia: Editorial UPV,2011.0,F GUIJARRO MARTINEZ;A BLASCO RUIZ
La valoracion de inmuebles urbanos mediante el proceso analitico en red,Revista de estudios regionales,2010.0,JA Bellver;JF Onate;FG Martinez
Foreign exchange forecasting models: ARIMA and LSTM comparison,Engineering Proceedings,2023.0,F Garcia;F Guijarro;J Oliver;R Tamosiuniene
