title,journal,year
Rainbow trapping absorbers: Broadband perfect and asymmetric sound absorption by subwavelength panels for transmission problems,Scientific reports,2017.0
Ultra thin metamaterial for perfect and quasi omnidirectional sound absorption,Applied Physics Letters,2016.0
Perfect and broadband acoustic absorption by critically coupled sub wavelength resonators,Scientific reports,2016.0
Use of complex frequency plane to design broadband and sub wavelength absorbers,The Journal of the Acoustical Society of America,2016.0
Quasiperfect absorption by subwavelength acoustic panels in transmission using accumulation of resonances due to slow sound,Physical Review B,2017.0
Control of acoustic absorption in one dimensional scattering by resonant scatterers,Applied Physics Letters,2015.0
Formation of high order acoustic Bessel beams by spiral diffraction gratings,Physical Review E,2016.0
Limits of slow sound propagation and transparency in lossy locally resonant periodic structures,New Journal of Physics,2014.0
Evidences of evanescent Bloch waves in phononic crystals,Applied Physics Letters,2010.0
Tunable wideband bandstop acoustic filter based on two dimensional multiphysical phenomena periodic systems,Journal of applied physics,2011.0
Multi resonant scatterers in sonic crystals: Locally multi resonant acoustic metamaterial,Journal of Sound and Vibration,2013.0
Metadiffusers: Deep subwavelength sound diffusers,Scientific reports,2017.0
Sharp acoustic vortex focusing by Fresnel spiral zone plates,Applied Physics Letters,2018.0
Enhancement of sound in chirped sonic crystals,Applied Physics Letters,2013.0
Evanescent modes in sonic crystals: Complex dispersion relation and supercell approximation,Journal of Applied Physics,2010.0
Underwater metamaterial absorber with impedance matched composite,Science Advances,2022.0
Unidirectional zero sonic reflection in passive  symmetric Willis media,Physical Review B,2018.0
Acoustic waves in periodic structures metamaterials and porous media,Ch. the Transfer Matrix Method in Acoustics Springer International,2021.0
Extraordinary absorption of sound in porous lamella crystals,Scientific reports,2014.0
Design manufacture and characterization of an acoustic barrier made of multi phenomena cylindrical scatterers arranged in a fractal based geometry,Archives of Acoustics,2012.0
Acoustic modeling of micro lattices obtained by additive manufacturing,Applied Acoustics,2020.0
Hole distribution in phononic crystals: Design and optimization,The Journal of the Acoustical Society of America,2009.0
Three dimensional multiresonant lossy sonic crystal for broadband acoustic attenuation: Application to train noise reduction,Applied Acoustics,2019.0
Propagating and evanescent properties of double point defects in sonic crystals,New Journal of Physics,2010.0
Optimally graded porous material for broadband perfect absorption of sound,Journal of Applied Physics,2019.0
Optimization of sonic crystal attenuation properties by ev MOGA multiobjective evolutionary algorithm,Structural and Multidisciplinary Optimization,2009.0
Second harmonic generation for dispersive elastic waves in a discrete granular chain,Physical Review E Statistical Nonlinear and Soft Matter Physics,2013.0
Fundamentals and applications of acoustic metamaterials: from seismic to radio frequency,John Wiley & Sons,2019.0
Interpretation of the acoustic black hole effect based on the concept of critical coupling,Journal of Sound and Vibration,2020.0
Perfect absorption in mirror symmetric acoustic metascreens,Physical Review Applied,2020.0
Tunable acoustic waveguides in periodic arrays made of rigid square rod scatterers: theory and experimental realization,Journal of Physics D: Applied Physics,2013.0
Band gap creation using quasiordered structures based on sonic crystals,Applied Physics Letters,2006.0
Design of acoustic metamaterials made of Helmholtz resonators for perfect absorption by using the complex frequency plane,Comptes Rendus. Physique,2020.0
Wave focusing using symmetry matching in axisymmetric acoustic gradient index lenses,Applied Physics Letters,2013.0
Folded metaporous material for sub wavelength and broadband perfect sound absorption,Applied Physics Letters,2020.0
Perfect absorption of sound by rigidly backed high porous materials,Acta Acustica united with Acustica,2018.0
Complex dispersion relation of surface acoustic waves at a lossy metasurface,Applied Physics Letters,2017.0
Aerogel based metasurfaces for perfect acoustic energy absorption,Applied Physics Letters,2019.0
Acoustic Bessel like beam formation by an axisymmetric grating,Europhysics Letters,2014.0
Sound absorption and diffusion by 2D arrays of Helmholtz resonators,Applied Sciences,2020.0
Broadband quasi perfect absorption using chirped multi layer porous materials,AIP Advances,2016.0
Enhancement of sound by soft reflections in exponentially chirped crystals,AIP Advances,2014.0
Targeted band gap creation using mixed sonic crystal arrays including resonators and rigid scatterers,Applied physics letters,2007.0
Evanescent waves and deaf bands in sonic crystals,Aip Advances,2011.0
Stealth acoustic materials,Physical Review Applied,2019.0
High order acoustic Bessel beam generation by spiral gratings,Physics Procedia,2015.0
Perfect broadband and sub wavelength absorption with asymmetric absorbers: Realization for duct acoustics with 3D printed porous resonators,Journal of Sound and Vibration,2022.0
Limits of flexural wave absorption by open lossy resonators: reflection and transmission problems,New Journal of Physics,2019.0
Experimental evidence of absolute bandgaps in phononic crystal pipes,Applied Physics Letters,2020.0
Theoretical and experimental evidence of level repulsion states and evanescent modes in sonic crystal stubbed waveguides,New Journal of Physics,2012.0
Overlapping of acoustic bandgaps using fractal geometries,Europhysics Letters,2010.0
Iridescent perfect absorption in critically coupled acoustic metamaterials using the transfer matrix method,Applied Sciences,2017.0
Broadband transmission loss using the overlap of resonances in 3D sonic crystals,Crystals,2016.0
Formation of collimated sound beams by three dimensional sonic crystals,Journal of Applied Physics,2012.0
Spiral sound diffusing metasurfaces based on holographic vortices,Scientific reports,2021.0
Multimodal reduction of acoustic radiation of thin plates by using a single piezoelectric patch with a negative capacitance shunt,Applied Acoustics,2019.0
Analytical model to predict the effect of a finite impedance surface on the propagation properties of 2D sonic crystals,Journal of Physics D: Applied Physics,2011.0
The Transfer Matrix Method in Acoustics: Modelling One Dimensional Acoustic Systems Phononic Crystals and Acoustic Metamaterials,Acoustic Waves in Periodic Structures Metamaterials and Porous Media: From,2021.0
