title,journal,year
Objective comparison of methods to decode anomalous diffusion,Nature communications,2021.0
Hypercyclic behaviour of operators in a hypercyclic C0-semigroup,Journal of functional analysis,2007.0
Hypercyclic topologically mixing and chaotic semigroups on Banach spaces,Studia Mathematica,2005.0
Chaotic behaviour of the solutions of the Moore-Gibson-Thompson equation,Applied Mathematics & Information Sciences,2015.0
Potential limitations in COVID-19 machine learning due to data source variability: A case study in the nCov2019 dataset,Journal of the American Medical Informatics Association,2021.0
Hypercyclic translation C0-semigroups on complex sectors,Discrete and Continuous Dynamical Systems-Series A (DCDS-A),2009.0
CyanoFactory a European consortium to develop technologies needed to advance cyanobacteria as chassis for production of chemicals and fuels,Algal Research,2019.0
Higher-order spectral analysis of stray flux signals for faults detection in induction motors,Applied Mathematics and Nonlinear Sciences,2020.0
Linear transitivity criteria,Topology and its Applications,2005.0
Detection of nonadjacent rotor faults in induction motors via spectral subtraction and autocorrelation of stray flux signals,IEEE Transactions on Industry Applications,2019.0
Algebrability and nowhere Gevrey differentiability,Israel Journal of Mathematics,2015.0
Uncountably generated algebras of everywhere surjective functions,Bulletin of the Belgian Mathematical Society-Simon Stevin,2010.0
Hypercyclic semigroups generated by Ornstein-Uhlenbeck operators,Mediterranean Journal of Mathematics,2010.0
La entrada en la Universidad: un reto para la orientacion academica,REDU. Revista de Docencia Universitaria,2014.0
Powers of hypercyclic functions for some classical hypercyclic operators,Integral Equations and Operator Theory,2007.0
Light distribution and spectral composition within cultures of micro-algae: quantitative modelling of the light field in photobioreactors,Algal research,2017.0
A user-centered chatbot (Wakamola) to collect linked data in population networks to support studies of overweight and obesity causes: design and pilot study,JMIR Medical Informatics,2021.0
Chaotic asymptotic behavior of the hyperbolic heat transfer equation solutions,International Journal of Bifurcation and Chaos,2010.0
Smoothing vs. sharpening of colour images: Together or separated,Applied mathematics and nonlinear sciences,2017.0
The sustainable development goals and aerospace engineering: a critical note through artificial intelligence,Results in Engineering,2023.0
Outreach initiatives operated by universities for increasing interest in science and technology,European Journal of Engineering Education,2016.0
Halting generative AI advancements may slow down progress in climate research,Nature Climate Change,2023.0
Distributionally chaotic families of operators on Frechet spaces,American Institute of Mathematical Sciences,2016.0
Rotor fault detection in induction motors based on time-frequency analysis using the bispectrum and the autocovariance of stray flux signals,Energies,2019.0
Quartic Kerr cavity combs: bright and dark solitons,Optics Letters,2022.0
Open data science to fight COVID-19: winning the 500k XPRIZE pandemic response challenge,Joint European Conference on Machine Learning and Knowledge Discovery in ...,2021.0
Well-posedness for degenerate third order equations with delay and applications to inverse problems,Israel Journal of Mathematics,2019.0
Efficient recurrent neural network methods for anomalously diffusing single particle short and noisy trajectories,Journal of Physics A: Mathematical and Theoretical,2021.0
An iterative algorithm for the management of an electric car-rental service,Journal of Applied Mathematics,2014.0
Devaney chaos and distributional chaos in the solution of certain partial differential equations,Abstract and Applied Analysis,2012.0
