title,journal,year
Thermocapillar and thermogravitatory waves in a convection problem,,2004
Sensitivity study of resolution and convergence requirements for the extended overlap region in wall bounded turbulence,American Physical Society,2024
Erratum: New scaling laws for turbulent Poiseuille flow with wall transpiration (J. Fluid Mech. (2014) 746 (99 122) DOI: 10.1017/jfm.2014.98),Cambridge University Press,2021
High resolution simulations of a turbulent boundary layer impacting two obstacles in tandem,American Physical Society,2023
Codimension three bifurcations in a Benard Marangoni problem,,2013
URANS Analysis of a Launch Vehicle Aero Acoustic Environment,MDPI,2022
Turbulence Statistics of Arbitrary Moments of Wall Bounded Shear Flows: A Symmetry Approach,American Physical Society,2022
Sequential and Parallel Algorithms to Compute Turbulent Coherent Structures,Multidisciplinary Digital Publishing Institute (MDPI),2024
Turbulent plane Couette flow at moderately high Reynolds number,Cambridge University Press,2014
Horizontal gradient effects on the flow stability in a cylindrical container in a Bernard Marangoni problem,Elsevier B.V.,2024
Additive feature attribution methods: A review on explainable artificial intelligence for fluid dynamics and heat transfer,Elsevier B.V.,2025
New mean velocity scaling laws for turbulent Poiseuille flow with wall transpiration,Zakon Group LLC,2020
Scaling of the velocity fluctuations in turbulent channels up to Rei 2003,American Institute of Physics Inc.,2006
Cfd simulation of a hyperloop capsule inside a low pressure environment using an aerodynamic compressor as propulsion and drag reduction method,MDPI AG,2021
Set up analysis and optimization of cfd simulations for radial turbines,,2013
Evacuated Tube High Speed Autonomous Maglev (Hyperloop) Transport System for Long Distance Travel: An overview,Institute of Electrical and Electronics Engineers Inc.,2021
Numerical modelling of cavitation: Validation and parametric studies,,2012
The Sustainable Development Goals and Aerospace Engineering: A critical note through Artificial Intelligence,Elsevier B.V.,2023
Towards extraction of orthogonal and parsimonious non linear modes from turbulent flows,Elsevier Ltd,2022
Invariant moment and pdf solutions of wall bounded turbulent shear flows,International Symposium on Turbulence and Shear Flow Phenomena TSFP,2022
Letter: The link between the Reynolds shear stress and the large structures of turbulent Couette Poiseuille flow,American Institute of Physics Inc.,2018
A recent eulerian lagrangian cfd methodology for modeling direct injection diesel sprays,World Scientific Publishing Co. Pte Ltd,2014
Benard Marangoni convection in a differentially heated cylindrical cavity,American Institute of Physics Inc.,2005
A moving mesh generation strategy for solving an injector internal flow problem,,2010
CFD study of needle motion influence on the exit flowconditions of single hole injectors,Begell House Inc.,2011
Numerical simulation and extended validation of two phase compressible flow in diesel injector nozzles,SAGE Publications Ltd,2011
Evaluation of the Eulerian Lagrangian spray atomisation (ELSA) in spray simulations,Inderscience Publishers,2011
Data driven assessment of arch vortices in simplified urban flows,Elsevier B.V.,2023
Direct numerical simulation of thermal channel flow for and,Cambridge University Press,2021
Evidences of persisting thermal structures in Couette flows,Elsevier B.V.,2019
Dns of couette flows with wall transpiration up to Rei 1000,Springer Science and Business Media LLC,2017
A high resolution code for turbulent boundary layers,Academic Press Inc.,2009
Review of launcher lift off noise prediction and mitigation,Elsevier B.V.,2024
Heat transfer analysis of intermittent grinding processes,,2008
Halting generative AI advancements may slow down progress in climate research,Nature Research,2023
Analytical solution of the steady state Kalman filter for observing drift on NOx models with application to turbocharged diesel engines (Solucion analitica de un filtro de Kalman estacionario para la observacion de deriva en modelos de emisiones de NOx en motores diesel de automocion),Elsevier Doyma,2015
Rocket plume URANS simulation using OpenFOAM,Elsevier B.V.,2019
DNS of Couette flows with wall transpiration up to Rei 1000,International Symposium on Turbulence and Shear Flow Phenomena TSFP10,2017
Influence of geometrical parameters on the linear stability of a Benard Marangoni problem,American Physical Society,2016
