title,journal,year
The Hausdorff fuzzy metric on compact sets,Fuzzy sets and systems,2004.0
Denotational semantics for programming languages balanced quasi metrics and fixed points,International Journal of Computer Mathematics,2008.0
S topologies and bounded convergences,Journal of mathematical analysis and applications,2008.0
Aggregation of fuzzy quasi metrics,Information Sciences,2021.0
The relationship between the Vietoris topology and the Hausdorff quasi uniformity,Topology and its Applications,2002.0
The Hausdorff fuzzy quasi metric,Fuzzy Sets and Systems,2010.0
On fuzzy uniformities induced by a fuzzy metric space,Fuzzy Sets and Systems,2018.0
Wijsman and hit and miss topologies of quasi metric spaces,Set Valued Analysis,2003.0
On hyperspace topologies via distance functionals in quasi metric spaces,Acta Mathematica Hungarica,2006.0
An extension of the dual complexity space and an application to computer science,Topology and its Applications,2009.0
Aggregation of weak fuzzy norms,Symmetry,2021.0
Some properties of bornological convergences,Topology and its Applications,2011.0
Asymptotic complexity of algorithms via the nonsymmetric Hausdorff distance,Computing Letters,2004.0
Aggregation of L Probabilistic Quasi Uniformities,Mathematics,2020.0
Convergence of fuzzy sets with respect to the supremum metric,Fuzzy Sets and Systems,2014.0
Fuzzy uniform structures,Filomat,2017.0
The Wijsman topology of a fuzzy metric space,Fuzzy Sets and Systems,2016.0
Closedness of bounded convex sets of asymmetric normed linear spaces and the Hausdorff quasi metric,Bulletin of the Belgian Mathematical Society Simon Stevin,2006.0
Reconciling proximal convergence with uniform convergence in quasi metric spaces,Houston J. Math,2001.0
New results on the aggregation of norms,Mathematics,2021.0
Hyperspace of a fuzzy quasi uniform space,Iranian Journal of Fuzzy Systems,2020.0
Hyperspaces of a weightable quasi metric space: Application to models in the theory of computation,Mathematical and computer modelling,2010.0
Casi metricas difusas y dominios de computacion,Revista Iberoamericana de Sistemas Cibernetica en Informatica,2005.0
Hypertopologies and asymmetric topology,Theory and Applications of Proximity Nearness and Uniformity,2009.0
A New Approach to Epiconvergence and Some Applications.,Southeast Asian Bulletin of Mathematics,2004.0
McShane Whitney extensions for fuzzy Lipschitz maps,Fuzzy Sets and Systems,2021.0
A linear regression model for nonlinear fuzzy data,International Conference on Intelligent Computing,2011.0
Graph topologies and uniform convergence in quasi uniform spaces,Universidad de Extremadura Servicio de Publicaciones,2002.0
Power Aggregation of Pseudometrics and the McShane Whitney Extension Theorem for Lipschitz  Concave Maps,Acta Applicandae Mathematicae,2020.0
Asymmetric topology and its applications,(No Title),2011.0
Ultimately increasing functions,,2010.0
On the Hausdorff Fuzzy Quasi Metric and Computational,International e Conference of Computer Science,2007.0
Completeness of Hutton [0 1] quasi uniformities induced by a crisp uniformity,University of Sistan and Baluchestan,2019.0
Probabilistic uniformities of uniform spaces,Proceedings of the Workshop on Applied Topological Structures,2017.0
Document downloaded from,,2017.0
Proceedings of the workshop on applied topological structures. WATS'16,Editorial Universitat Politecnica de Valencia,2016.0
Nuevos planteamientos en las practicas de matematicas con Mathematica en la ETSICCP de Valencia,IX Jornadas de Redes de Investigacion en Docencia Universitaria,2011.0
Weak inclusions and digital spaces,Pattern recognition letters,2009.0
Hyperspaces of a Weightable Quasi metric Space,,2009.0
Denotational semantics for programming languages balanced quasi metrics and fixed points (SI CMMSE2006),International Journal of Computer Mathematics,2008.0
Hyperspace topologies defined by distance functionals in quasi metric spaces,,2004.0
Fell type topologies of quasi pseudo metric spaces and the Kuratowski Painleve convergence,Applied General Topology,2001.0
Hypertopologies and quasi uniformities,IV Iberoamerican Conference on Topology and its Applications (IV CITA),2001.0
On the relation between uniform convergence and some hypertopologies on semicontinuous function spaces,Functional Analysis Valencia,2000.0
On the Hausdorff Fuzzy Quasi Metric and Computational Sciences,,
Lowen uniformity via fuzzifying uniformity,,
